[2026-05-12 11:15:31] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-11
正在获取论文...
[arXiv] 2026-05-11 | Floquet-tuned superfluid-checkerboard competition in dipolar bosons
[arXiv] 2026-05-11 | Diffeomorphic registration distances for Bayesian calibration of infinite-dimensional computer models
[arXiv] 2026-05-11 | Electroweak physics and long-lived particles at LHCb
[arXiv] 2026-05-11 | When Does Non-Uniform Replay Matter in Reinforcement Learning?
[arXiv] 2026-05-11 | Social Policy of Large Language Models: How GPT, Claude, DeepSeek and Grok Allocate Social Budgets in Spain and Germany
[arXiv] 2026-05-11 | The Vote-Left Equilibrium: A Deterministic Coordination Strategy for the Faithful in The Traitors
[arXiv] 2026-05-11 | The Serre Derivatives and Zeros of Modular Forms
[arXiv] 2026-05-11 | Apparent double-$T_c$ from a single BKT transition in anisotropic phase-only models
[arXiv] 2026-05-11 | Unsupervised Online Channel Estimation for High-Mobility OFDM via Implicit Neural Representation
[arXiv] 2026-05-11 | To Redact, or not to Redact? A Local LLM Approach to Deliberative Process Privilege Classification
[arXiv] 2026-05-11 | 3DReflecNet: A Large-Scale Dataset for 3D Reconstruction of Reflective, Transparent, and Low-Texture Objects
[arXiv] 2026-05-11 | HeteroGenManip: Generalizable Manipulation For Heterogeneous Object Interactions
[arXiv] 2026-05-11 | A Deductive Refinement Calculus for Differential-Algebraic Programs
[arXiv] 2026-05-11 | SciVQR: A Multidisciplinary Multimodal Benchmark for Advanced Scientific Reasoning Evaluation
[arXiv] 2026-05-11 | Joint sparse coding and temporal dynamics support context reconfiguration
[arXiv] 2026-05-11 | MTA-RL: Robust Urban Driving via Multi-modal Transformer-based 3D Affordances and Reinforcement Learning
[arXiv] 2026-05-11 | MolSight: Molecular Property Prediction with Images
[arXiv] 2026-05-11 | Stable Long-Horizon PDE Forecasting via Latent Structured Spectral Propagators
[arXiv] 2026-05-11 | Learning to Sparsify Stochastic Linear Bandits
[arXiv] 2026-05-11 | MicroViTv2: Beyond the FLOPS for Edge Energy-Friendly Vision Transformers
[arXiv] 2026-05-11 | Benchmarking Safety Risks of Knowledge-Intensive Reasoning under Malicious Knowledge Editing
[arXiv] 2026-05-11 | Scaling Vision Models Does Not Consistently Improve Localisation-Based Explanation Quality
[arXiv] 2026-05-11 | FormalRewardBench: A Benchmark for Formal Theorem Proving Reward Models
[arXiv] 2026-05-11 | Superconductivity Mediated Long Range Magnetic Coupling
[arXiv] 2026-05-11 | Per-Loss Adapters for Gradient Conflict in Physics-Informed Neural Networks
[arXiv] 2026-05-11 | Useful for Exploration, Risky for Precision: Evaluating AI Tools in Academic Research
[arXiv] 2026-05-11 | Complex-Valued Phase-Coherent Transformer
[arXiv] 2026-05-11 | Reionization History and Neutrino Mass
[arXiv] 2026-05-11 | SkillRAE: Agent Skill-Based Context Compilation for Retrieval-Augmented Execution
[arXiv] 2026-05-11 | CFSPMNet: Cross-subject Fourier-guided Spatial-Patch Mamba Network for EEG Motor Imagery Decoding in Stroke Patients
[arXiv] 2026-05-11 | Towards an End-To-End System for Real-Time Gesture Recognition from Surface Vibrations
[arXiv] 2026-05-11 | GLiNER-Relex: A Unified Framework for Joint Named Entity Recognition and Relation Extraction
[arXiv] 2026-05-11 | Arcane: An Assertion Reduction Framework through Semantic Clustering and MCTS-Guided Rule Exploring
[arXiv] 2026-05-11 | From Large Telescopes to the MUltiplexed Survey Telescope (MUST)
[arXiv] 2026-05-11 | Symmetry-Enforced Non-Hermitian Jarzynski Equality in an SU(2)-Rotated Family of Hybrid $\mathcal{PT}$--$\mathcal{APT}$ Systems
