[2026-04-13 10:28:10] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-12
正在获取论文...
[ACM] 2026-4-13 | AI in Webtoon Creation: Challenges, Perceptions, and Design Implications
[ACM] 2026-4-13 | Session Summary Podcast: Session 104: HCAI and Collaboration
[ACM] 2026-4-13 | Session Summary Podcast: Session 130: LLM Interaction &amp; Conversational Agents
[ACM] 2026-4-13 | Dynamic Compensation Can Enhance User Engagement by Triggering Sensitivity to Financial Losses in Crowd-sourced Studies
[ACM] 2026-4-13 | Session Summary Podcast: Session 121: Immersive Play and Spatial Computing
[ACM] 2026-4-13 | Breakdowns in Conversational AI: Interactional Failures in Emotionally and Ethically Sensitive Contexts
[ACM] 2026-4-13 | Computer Science Achievement and Writing Skills Predict Vibe Coding Proficiency
[ACM] 2026-4-13 | Challenges in Automatic Speech Recognition for Adults with Cognitive Impairment
[ACM] 2026-4-13 | Exploring Texture-Level Creative Decisions with penPal, a Novel Handheld Actuated Drawing Tool
[ACM] 2026-4-13 | Tracking Together: A Robot-and-App-Based Speech Analysis System to Support Shared Meaning-Making Among Dementia Care Partners
[ACM] 2026-4-13 | Unpacking Visual Metaphors in Infographics: A Design Space
[ACM] 2026-4-13 | Are Semantic Networks Associated with Idea Originality in Artificial Creativity? A Comparison with Human Agents
[ACM] 2026-4-13 | Exploring Collaboration Breakdowns Between Provider Teams and Patients in Post-Surgery Care
[ACM] 2026-4-13 | Contrastive Learning for Large-scale Color-Name Dataset: Tackling Sparsity with Negative Sampling
[ACM] 2026-4-13 | Privy: Envisioning and Mitigating Privacy Risks for Consumer-facing AI Product Concepts
[ACM] 2026-4-13 | "An Experience That Could Not be Found Anywhere Else": Resonance as an Explanatory Concept for Player Experience Research and Game Design
[ACM] 2026-4-13 | Session Summary Podcast: Session 27: Alternative Perspectives
[ACM] 2026-4-13 | AReframedChair: Reframing the Empty Chair through Dyadic and Triadic AR-Mediated Self-Embodiment
[ACM] 2026-4-13 | BikeButler: A Personalized, Context-sensitive Bike Routing Tool using Open Data and VLM-based Analyses of Street View Imagery
[ACM] 2026-4-13 | EmoFlow: From Tracking to Sense-Making of Emotions Through Creative Drawing
[ACM] 2026-4-13 | Bondi: Designing Tangible and Multimodal Interfaces for Continuing Bonds in Pet Bereavement
[ACM] 2026-4-13 | "AI does not understand the real world.": AI Augmented Software Development
[ACM] 2026-4-13 | Me²: Co-Designing Deepfake Encounters With One's Child Self in XR
[ACM] 2026-4-13 | Designing Cognitive Mini-Games for Computational Thinking and Executive Functions (Work in Progress)
[ACM] 2026-4-13 | "Google Maps can say a lot of things, but it cannot guide us properly": Exploring Technology Inaccessibility for People with Visual Impairments in Bangladesh
[ACM] 2026-4-13 | "It Helps Me Start": How ADHD Users Adapt AI Tools in Everyday Life
[ACM] 2026-4-13 | Probing More-Than-Human Representation in Crisis Resilience Planning: An HCI Researcher Perspective
[ACM] 2026-4-13 | Embodied Encounters in the Forest: Human Interpretations and Sense Making of Robot Presence and Behavior
[ACM] 2026-4-13 | Looks Good, But Is It Usable? Evaluating Usability in AI-Generated Mobile User Interfaces
[ACM] 2026-4-13 | StreAM: An LLM-Based System for Stress-Adaptive Meditation at Work
[ACM] 2026-4-13 | "Figma Is a Big Black Box:" The Mismatch Between the Interface and Its Underlying Structure
[ACM] 2026-4-13 | Mirror of the Dividual: A Public-Space Multimodal Interactive System for Making Understanding Perceivable
[ACM] 2026-4-13 | Augmented Reality for Tabletop and In-Situ Visualization of Road Construction Drawings to Support Engineers
[ACM] 2026-4-13 | MnemoMaker: Creator, Curator, or Something Else? Exploring Human-AI Mnemonic Co-Creation
[ACM] 2026-4-13 | If I Change Your Eyes, Are You Still You? Identity Thresholds in Deepfake Perception
[ACM] 2026-4-13 | Break the Window: Exploring Spatial Decomposition of Webpages in XR
